Id,Name,Address,Lat,Long
GM-0, Bethel Presbyterian General meal site,"1900 W York St Philadelphia, PA 19132 ",39.99039,-75.16421
GM-1, Broad Street Ministry General meal site,"315 S Broad Street Philadelphia, PA 19107 ",39.94654,-75.16467
GM-2, Chosen 300 General meal site,"1116 Spring Garden St. Philadelphia, PA 19123 ",39.96157,-75.1563
GM-3, Chosen 300 West General meal site,"3959 Lancaster Ave Philadelphia, PA 19104 ",39.96305,-75.20201
GM-4, Church of the Advocate General meal site,"1801 Diamond St Philadelphia, PA 19121 ",39.98569,-75.16337
GM-5, Face to Face General meal site,"123 E. Price St Philadelphia, PA 19144 ",40.03822,-75.17402
GM-6, Grace Cafe General meal site,"55 N Broad St Philadelphia, PA 19107 ",39.95364,-75.16314
GM-7, Hub of Hope General meal site,"1401 John F Kennedy Blvd Philadelphia, PA 19102 ",39.95354,-75.16388
GM-8, Living Word Community General meal site,"142 N. 17th St Philadelphia, PA 19103 ",39.95646,-75.1678
GM-9, Mt. Tabor AME Church General meal site,"961 N. 7th St Philadelphia, PA 19123 ",39.96799,-75.14848
GM-10, North Providence Baptist Church General meal site,"2909 N 8th St Philadelphia, PA 19133 ",39.99681,-75.1441
GM-11, Our Brothers Place General meal site,"907 Hamilton St Philadelphia, PA 19123 ",39.96025,-75.1542
GM-12, Salvation Army General meal site,"1920 E Allegheny Ave Philadelphia, PA 19134 ",39.99463,-75.11188
GM-13, St. Francis Inn General meal site,"2441 Kensington Ave Philadelphia, PA 19125 ",39.98692,-75.13061
GM-14, St. John's Hospice General meal site,"1221 Race St Philadelphia, PA 19107 ",39.95601,-75.16022
GM-15, St. Luke Episcopal General meal site,"5421 Germantown Ave Philadelphia, PA 19144 ",40.03338,-75.17085
GM-16, Sunday Breakfast Rescue Mission General meal site,"302 N 13th St. Philadelphia, PA 19107 ",39.95834,-75.16022
GM-17, Sunday Love Project General meal site,"1904 Walnut St Philadelphia, PA 19103 ",39.95037,-75.17328
GM-18, The Perimeter General meal site,"213-217 N 4th St Philadelphia, PA 19106 ",39.95472,-75.14618
GM-19, UC Hospitality Coalition General meal site,"3637 Chestnut St Philadelphia, PA 19104 ",39.95498,-75.19627
GM-20, UC Hospitality Coalition General meal site,"38th and Ludlow St Philadelphia, PA 19104 ",39.95602909,-75.19806287
GM-21, UC Hospitality Coalition General meal site,"3619 Locust Walk Philadelphia, PA 19104 ",39.95222,-75.19587
GM-22, UC Hospitality Coalition General meal site,"401 S 42nd St Philadelphia, PA 19104 ",39.9509392,-75.20671165
